SEED,protected_att,target,model_name,method,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
10,SEX,PINCP,XGBoost,k-anonymity,10,0.23843261745562155,0.18228836742333931,0.020045151660175398,0.14264865678433739,0.0640193880095623,0.7544307599879844,0.7564282096356106,0.746354656632173,0.7667774086378738,0.7544971596520711,"[[12421  4314]
 [ 3861 12694]]",0.15489539945601322,3.479593515396118,0.0989874
11,SEX,PINCP,XGBoost,k-anonymity,10,0.2431413836553663,0.18676551171705746,0.017557120546161098,0.1440849335033208,0.06645421846563837,0.7537098227696005,0.7515981458478505,0.7447613329330531,0.7585616438356164,0.7537937514254242,"[[12687  4251]
 [ 3948 12404]]",0.15377573008343842,2.9618706703186035,0.098870106
12,SEX,PINCP,XGBoost,k-anonymity,10,0.2423475641725636,0.18563319821962954,0.017027216615622787,0.15628935186129525,0.058920524907484007,0.7475818564133373,0.7511328298533985,0.7333873113180267,0.7697584071870827,0.7478073672472045,"[[12206  4610]
 [ 3793 12681]]",0.15034038755293908,2.3961949348449707,0.09654247
13,SEX,PINCP,XGBoost,k-anonymity,10,0.22071646405052975,0.16864567892184046,0.023896785293485046,0.12776126487042788,0.06725858510385252,0.7537699008711325,0.7588904903373828,0.7458803122289679,0.7723625913064304,0.7537060123158628,"[[12193  4395]
 [ 3802 12900]]",0.15631703562790206,3.3905348777770996,0.09948416
14,SEX,PINCP,XGBoost,k-anonymity,10,0.23678668597739594,0.1858615088574309,0.024347831119191254,0.1428484887844215,0.06520979466535382,0.7510363472514269,0.7554585152838428,0.740942238685033,0.7705549536535452,0.7510726315401332,"[[12200  4476]
 [ 3812 12802]]",0.1548941695984298,3.029777924827967,0.09796458
15,SEX,PINCP,XGBoost,k-anonymity,10,0.22532842905539374,0.16665015730087962,0.021164253217651918,0.13448161668343672,0.07108687166403138,0.750225292880745,0.7562226978216893,0.7413347128815313,0.7717209191000479,0.7501384182905234,"[[12078  4500]
 [ 3815 12897]]",0.16170323343629553,3.004040229849138,0.10129172
16,SEX,PINCP,XGBoost,k-anonymity,10,0.21349223274771384,0.16221411397272134,0.02472468258161986,0.11672685196175928,0.07692427476505825,0.7515470111144488,0.7551147298297557,0.7453387106201415,0.765150606024241,0.7515298265924862,"[[12267  4357]
 [ 3914 12752]]",0.1490555193867631,2.283336854071961,0.097098194
17,SEX,PINCP,XGBoost,k-anonymity,10,0.22013588234868386,0.16106489526462175,0.016632795593865546,0.1310988251455012,0.06759288495301052,0.7513968158606188,0.7545087802562885,0.7418771510237415,0.7675780071217334,0.7514703623312752,"[[12296  4425]
 [ 3851 12718]]",0.15927928971574293,3.095837480426635,0.10207146
18,SEX,PINCP,XGBoost,k-anonymity,10,0.21304800907093369,0.15848447452918746,0.020070383477816645,0.12503878960071604,0.06774766426506129,0.749924902373085,0.7544175344405439,0.7423943334881561,0.7668365817091455,0.7498943666896615,"[[12178  4437]
 [ 3888 12787]]",0.15463019021464924,2.617391347885132,0.09811997
19,SEX,PINCP,XGBoost,k-anonymity,10,0.24133136025823965,0.18029721950316935,0.014099448244216717,0.1521328288624029,0.058908560475565586,0.749774707119255,0.751595395717779,0.7442712024568864,0.7590651728707385,0.749798645879281,"[[12358  4330]
 [ 4000 12602]]",0.156195997952844,2.415735672163932,0.09881733
