SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
9,race,v_decile_score,t-closeness,0.5,2,-0.8537170263788969,-0.8421052631578947,-0.1794733227502505,-0.8634361233480177,-0.2296364709202391,0.6505681818181818,0.7268689859363434,0.7014285714285714,0.7542242703533026,0.6190874438186267,"[[196 209]
 [160 491]]",0.026118178,0.2402409166097641,0.019887798
10,race,v_decile_score,t-closeness,0.5,2,-0.828009828009828,-0.8031914893617021,-0.1531670345229666,-0.8493150684931507,-0.172507153863086,0.6420454545454546,0.7224669603524229,0.6842837273991655,0.7651632970451011,0.6077632465855046,"[[186 227]
 [151 492]]",0.021426328,0.2104790644601609,0.01676755
11,race,v_decile_score,t-closeness,0.5,2,-0.8081534772182254,-0.7712765957446809,-0.1531957532565496,-0.8384279475982532,-0.1792449139280125,0.65625,0.734065934065934,0.6968011126564673,0.7755417956656346,0.621917239296232,"[[192 218]
 [145 501]]",0.02359984,0.186489815857609,0.018470068
12,race,v_decile_score,t-closeness,0.5,2,-0.7990654205607477,-0.7614213197969544,-0.1549645812250728,-0.8311688311688312,-0.1668641682713671,0.6505681818181818,0.7284768211920529,0.6932773109243697,0.7674418604651163,0.6172975725683245,"[[192 219]
 [150 495]]",0.024682386,0.1789116649813804,0.01816357
13,race,v_decile_score,t-closeness,0.5,2,-0.8181818181818181,-0.7925531914893618,-0.1393334433261838,-0.8391304347826087,-0.1811994720343177,0.6392045454545454,0.7167286245353159,0.6750700280112045,0.7638668779714739,0.6089922625151487,"[[193 232]
 [149 482]]",0.02172547,0.1744449946597565,0.016483516
14,race,v_decile_score,t-closeness,0.5,2,-0.8048780487804879,-0.7795698924731183,-0.167046741674847,-0.8258928571428572,-0.205766253869969,0.6534090909090909,0.7340116279069767,0.6955922865013774,0.7769230769230769,0.6162940507768094,"[[185 221]
 [145 505]]",0.0256293,0.2273740080073894,0.01839834
15,race,v_decile_score,t-closeness,0.5,2,-0.8266033254156769,-0.8306010928961749,-0.1867918529186226,-0.8235294117647058,-0.3013267177219286,0.6515151515151515,0.727810650887574,0.6949152542372882,0.7639751552795031,0.6198516553096545,"[[196 216]
 [152 492]]",0.023195319,0.2335665812388223,0.017328043
16,race,v_decile_score,t-closeness,0.5,2,-0.8302325581395349,-0.8148148148148149,-0.1653614681625678,-0.8423236514522822,-0.2393977854610705,0.6515151515151515,0.7249626307922272,0.6938483547925608,0.758998435054773,0.622904493306763,"[[203 214]
 [154 485]]",0.021337185,0.1575318226005471,0.016543679
17,race,v_decile_score,t-closeness,0.5,2,-0.8071428571428572,-0.8,-0.1654088050314465,-0.8125,-0.2709643605870021,0.6496212121212122,0.7263313609467456,0.6847977684797768,0.7732283464566929,0.6182056221594628,"[[195 226]
 [144 491]]",0.020799005,0.1660513760218271,0.015687758
18,race,v_decile_score,t-closeness,0.5,2,-0.81,-0.7894736842105263,-0.1524999999999999,-0.8285714285714285,-0.1611842105263158,0.6297348484848485,0.7152221412964311,0.6707650273224044,0.765990639625585,0.59263387402966,"[[174 241]
 [150 491]]",0.025696743,0.1981566846370697,0.019278903
19,race,v_decile_score,t-closeness,0.5,2,-1.0,-1.0,-0.1976541135382689,-1.0,-0.7164179104477612,0.6316287878787878,0.6895450917797287,0.7164179104477612,0.6646153846153846,0.6217165593027663,"[[235 171]
 [218 432]]",0.019311871,0.1638526767492294,0.013804041
20,race,v_decile_score,t-closeness,0.5,2,-0.8074074074074074,-0.7717391304347826,-0.1353587074017181,-0.8371040723981901,-0.1573909961006735,0.6439393939393939,0.7247437774524158,0.6790123456790124,0.7770800627943485,0.6093037545475322,"[[185 234]
 [142 495]]",0.021447979,0.1709882915019989,0.015351236
21,race,v_decile_score,t-closeness,0.5,2,-0.8155339805825242,-0.7670454545454546,-0.0958511728878972,-0.8516949152542372,-0.1437561294540699,0.6458333333333334,0.7200598802395209,0.6680555555555555,0.7808441558441559,0.6188311688311688,"[[201 239]
 [135 481]]",0.02185826,0.2354166060686111,0.016472071
