SEED,dataset,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,INF
44,ACSIncome_26000,SEX,PINCP,l-diversity,2,50,-0.06406286307742648,-0.05820823244552059,0.03144576542056521,-0.06790865384615385,-0.04354763646034171,0.5293478260869565,0.3805436337625179,0.38328530259365995,0.3778409090909091,0.5005401728553137,"[[354 214]
 [219 133]]",0.7770008264735196
45,ACSIncome_26000,SEX,PINCP,l-diversity,2,10,0.023293092931213025,0.0033752860411899316,-0.014932924782129708,0.036997247028805476,-0.1601731601731602,0.5847826086956521,0.10747663551401869,0.42592592592592593,0.06149732620320856,0.5023603847133259,"[[515  31]
 [351  23]]",0.05364820563706962
46,ACSIncome_26000,SEX,PINCP,l-diversity,2,20,0.08192513368983957,0.09954472745170419,0.013784907902554933,0.07143041669895892,0.0,0.5956521739130435,0.19130434782608696,0.4444444444444444,0.12188365650969529,0.5117468371993915,"[[504  55]
 [317  44]]",0.08398199296184383
47,ACSIncome_26000,SEX,PINCP,l-diversity,2,30,-0.11830225618216722,-0.15867242555126163,-0.03738761855885642,-0.08922531369339881,-0.07989813783224575,0.5456521739130434,0.22878228782287824,0.3780487804878049,0.164021164021164,0.4879146410511724,"[[440 102]
 [316  62]]",0.11696901235767358
48,ACSIncome_26000,SEX,PINCP,l-diversity,2,40,0.07913259864912903,0.10515970515970513,0.028368290081763226,0.06225503355704698,0.004699453551912591,0.5597826086956522,0.28822495606326887,0.41624365482233505,0.22043010752688172,0.5052880464641708,"[[433 115]
 [290  82]]",0.09943139216144585
49,ACSIncome_26000,SEX,PINCP,l-diversity,2,50,0.09269102990033223,0.11328687438806656,0.006454674893213164,0.0777565414019597,0.010582010582010581,0.5173913043478261,0.3546511627906977,0.3873015873015873,0.32707774798927614,0.4871220549818411,"[[354 193]
 [251 122]]",0.7502812378549606
0,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.01647058823529412,-0.022988505747126436,0.0016636957813428443,-0.014792899408284023,-0.2857142857142857,0.7891304347826087,0.020202020202020204,0.2857142857142857,0.010471204188481676,0.5018062468130337,"[[724   5]
 [189   2]]",0.006739130434782609
1,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,-0.011377882909520994,-0.03296703296703297,-0.014452986398580725,-0.005786404228175688,-0.5,0.7880434782608695,0.029850746268656716,0.42857142857142855,0.015463917525773196,0.5049771378262474,"[[722   4]
 [191   3]]",0.009028487104520045
2,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,0.0,0.0,0.0636581912208336,0.0,0.0,0.7804347826086957,0.0,0.0,0.0,0.5,"[[718   0]
 [202   0]]",0.0
3,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,-0.004651162790697674,-0.012658227848101266,-0.014238253440911341,-0.002849002849002849,-0.5,0.808695652173913,0.011235955056179775,0.5,0.005681818181818182,0.5021688660801563,"[[743   1]
 [175   1]]",0.003711101698231625
4,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.0,0.0,0.034517215782561506,0.0,0.0,0.7793478260869565,0.0,0.0,0.0,0.5,"[[717   0]
 [203   0]]",0.0
5,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.0175054704595186,-0.038461538461538464,0.037506321157327105,-0.0113314447592068,-0.5,0.7913043478260869,0.04,0.5,0.020833333333333332,0.507669413919414,"[[724   4]
 [188   4]]",0.009273229184672258
6,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,-0.0071090047393364926,-0.02197802197802198,0.024515122099773468,-0.0030211480362537764,-0.6666666666666666,0.8,0.02127659574468085,0.6666666666666666,0.010810810810810811,0.5047251332965618,"[[734   1]
 [183   2]]",0.004056576964748779
7,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,-0.0477326968973747,-0.03333333333333333,0.0645772893354104,-0.05167173252279635,-0.15,0.7869565217391304,0.0297029702970297,0.15,0.016483516483516484,0.49672414306560647,"[[721  17]
 [179   3]]",0.018682853368903105
8,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,-0.005012531328320802,-0.014492753623188406,-0.036280720996348825,-0.0030303030303030303,-0.5,0.8065217391304348,0.011111111111111112,0.5,0.0056179775280898875,0.5021351343166056,"[[741   1]
 [177   1]]",0.003239020638393841
9,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.057203389830508475,0.038461538461538464,-0.06416464891041163,0.0625,0.14814814814814814,0.7706521739130435,0.0365296803652968,0.14814814814814814,0.020833333333333332,0.49461996336996333,"[[705  23]
 [188   4]]",0.08026277078998352
10,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.02102803738317757,-0.04597701149425287,0.004387964440392134,-0.01466275659824047,-0.4444444444444444,0.7967391304347826,0.041025641025641026,0.4444444444444444,0.021505376344086023,0.5073466936216342,"[[729   5]
 [182   4]]",0.011441640379169681
11,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,0.0,0.0,-0.016244597770869618,0.0,0.0,0.8010869565217391,0.0,0.0,0.0,0.5,"[[737   0]
 [183   0]]",0.0
12,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,-0.016905701223420166,-0.0449438202247191,0.0020509022545682765,-0.009590792838874679,-0.4444444444444444,0.7913043478260869,0.04,0.36363636363636365,0.021164021164021163,0.5057940488857042,"[[724   7]
 [185   4]]",0.014488666912872027
13,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,0.0,0.0,-0.0424220879251096,0.0,0.0,0.7891304347826087,0.0,0.0,0.0,0.5,"[[726   0]
 [194   0]]",0.0
14,ACSIncome_50000,SEX,PINCP,l-diversity,2,50,0.05991135855133461,0.071285140562249,-0.032487613473880184,0.05715833870306368,-0.09090909090909088,0.7858695652173913,0.08372093023255814,0.25,0.05027932960893855,0.5069210413226879,"[[714  27]
 [170   9]]",0.0776357466371189
15,ACSIncome_50000,SEX,PINCP,l-diversity,2,10,-0.018604651162790697,-0.03333333333333333,-0.014617940199335488,-0.014705882352941176,-0.375,0.7782608695652173,0.02857142857142857,0.375,0.01485148514851485,0.5039438484238395,"[[713   5]
 [199   3]]",0.010322887255269255
16,ACSIncome_50000,SEX,PINCP,l-diversity,2,20,0.0,0.0,0.02293371918724796,0.0,0.0,0.7934782608695652,0.0,0.0,0.0,0.5,"[[730   0]
 [190   0]]",0.0
17,ACSIncome_50000,SEX,PINCP,l-diversity,2,30,-0.002685680332739156,-0.000528750826173166,0.022222222222222143,-0.0029411764705882353,0.5,0.8119565217391305,0.022598870056497175,0.6666666666666666,0.011494252873563218,0.5050768851499184,"[[745   1]
 [172   2]]",0.005099994101940594
18,ACSIncome_50000,SEX,PINCP,l-diversity,2,40,-0.006741573033707865,-0.011111111111111112,-0.012347723240686004,-0.005633802816901409,-0.3333333333333333,0.7891304347826087,0.01020408163265306,0.3333333333333333,0.0051813471502590676,0.5012151577566977,"[[725   2]
 [192   1]]",0.003568307296168064
